title,year,duration,note,n_total,Genre,Director,Acteurs,Public,color,Descriptions
Cowboy Bebop,1998–1999,"TV Series,24,m",8.9,120K,"Animation,Action,Adventure,Back to top",Hajime Yatate,"Kôichi Yamadera,Unshô Ishizuka,Megumi Hayashibara,Steve Blum,Beau Billingslea,Kevin Seymour,Wendee Lee,Isshin Chiba,Melissa Fahn,Aoi Tada,Hiroshi Naka,Tsutomu Tareki,Miki Nagasawa,Toshihiko Nakajima,Jin Hirao,Skip Stellrecht,Kazuhiro Nakata,Shinpachi Tsuji",1998–1999,,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.
Clarkson's Farm,2021– ,"TV Series,45,m",9.0,37K,"Documentary,Comedy,Reality-TV,Back to top",Jeremy Clarkson,"Jeremy Clarkson,Kaleb Cooper,Charlie Ireland,Gerald Cooper,Lisa Hogan,Kevin Harrison,Ellen Helliwell,Georgia Craig,Dave Clay",2021– ,,Follow Jeremy Clarkson as he attempts to run a farm in the countryside.
Fargo,2014– ,"TV Series,53,m",8.9,374K,"Crime,Drama,Thriller,Back to top",Noah Hawley,"Billy Bob Thornton,Martin Freeman,Allison Tolman,Colin Hanks,Russell Harvard,Bokeem Woodbine,Brad Mann,Kirsten Dunst,Ewan McGregor,Chris Rock,Patrick Wilson,Carrie Coon,Jessie Buckley,Jesse Plemons,Mary Elizabeth Winstead,Jason Schwartzman,David Thewlis,Ted Danson",2014– ,,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota."
Dekalog,1989–1990,"TV Mini Series,9,h, ,32,m",9.0,26K,"Drama,Back to top",Artur Barcis,"Artur Barcis,Olgierd Lukaszewicz,Olaf Lubaszenko,Aleksander Bardini,Krystyna Janda,Piotr Machalica,Jan Tesarz,Stanislaw Gawlik,Krzysztof Kumor,Katarzyna Piwowarczyk,Maciej Szary,Henryk Baranowski,Daniel Olbrychski,Grazyna Szapolowska,Jerzy Stuhr,Miroslaw Baka,Ewa Blaszczyk,Anna Polony",1989–1990,,"Ten television drama films, each one based on one of the Ten Commandments."
Persona,2018,"TV Mini Series,1,h, ,5,m",9.0,42K,"Crime,Drama,Mystery,Back to top",Haluk Bilginer,"Haluk Bilginer,Cansu Dere,Metin Akdülger,Sebnem Bozoklu,Hüseyin Avni Danyal,Necip Memili,Senay Gürler,Ayhan Kavas,Önder Selen,Ibrahim Selim,Firat Topkorur,Recep Usta,Rabia Soyturk,Alptekin Ertürk,Müjde Ar,Yusufcan Sancakli,Hümeyra,Volkan Uygun",2018,,A man diagnosed with Alzheimer's decides to punish criminals.
The Beatles: Get Back,2021,"TV Mini Series,7,h, ,48,m",9.0,23K,"Documentary,Biography,Music,Back to top",The Beatles,"The Beatles,John Lennon,Paul McCartney,George Harrison,Ringo Starr,Mal Evans,Michael Lindsay-Hogg,Yoko Ono,Glyn Johns,George Martin,Linda McCartney,Kevin Harrington,Anthony B. Richmond,Peter Sutton,Dave Harries,Denis O'Dell,Neil Aspinall,Billy Preston",2021,,Documentary about the music group The Beatles featuring in-studio footage that was shot in early 1969 for the 1970 feature film 'Let It Be.'
Better Call Saul,2015–2022,"TV Series,46,m",8.9,527K,"Crime,Drama,Back to top",Vince Gilligan,"Bob Odenkirk,Rhea Seehorn,Jonathan Banks,Patrick Fabian,Michael Mando,Giancarlo Esposito,Michael McKean,Tony Dalton,Mark Margolis,Kerry Condon,Ray Campbell,Jeremiah Bitsui,Cara Pifko,Dennis Boutsikaris,Ed Begley Jr.,Josh Fadem,Tina Parker,Julian Bonfiglio",2015–2022,,The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.
Seinfeld,1989–1998,"TV Series,22,m",8.9,319K,"Comedy,Back to top",Larry David,"Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards,Jason Alexander,Ruth Cohen,Wayne Knight,Norman Brenner,Heidi Swedberg,Estelle Harris,Jerry Stiller,Liz Sheridan,John O'Hurley,Barney Martin,Len Lesser,Deck McKenzie,Richard Herd,Peggy Lane,Richard Fancy",1989–1998,,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.
The Civil War,1990,"TV Mini Series,11,h, ,20,m",9.1,17K,"Documentary,History,War,Back to top",David McCullough,"David McCullough,Sam Waterston,Julie Harris,Jason Robards,Morgan Freeman,Paul Roebling,Garrison Keillor,George Black,Arthur Miller,Christopher Murney,Charles McDowell,Horton Foote,George Plimpton,Philip Bosco,Terry Courier,Jody Powell,Studs Terkel,Jeremy Irons",1990,,A comprehensive survey of the American Civil War.
Only Fools and Horses,1981–2003,"TV Series,1,h, ,35,m",9.0,52K,"Comedy,Back to top",John Sullivan,"David Jason,Nicholas Lyndhurst,Roger Lloyd Pack,Buster Merryfield,John Challis,Kenneth MacDonald,Lennard Pearce,Gwyneth Strong,Sue Holderness,Patrick Murray,Tessa Peake-Jones,Paul Barber,Roy Heather,Denis Lill,Nula Conwell,Steven Woodcock,Julie La Rousse,Michele Winstanley",1981–2003,,Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.
True Detective,2014–2019,"TV Series,55,m",8.9,571K,"Crime,Drama,Mystery,Back to top",Nic Pizzolatto,"Vince Vaughn,Colin Farrell,Rachel McAdams,Taylor Kitsch,Matthew McConaughey,Mahershala Ali,Woody Harrelson,Carmen Ejogo,Michelle Monaghan,Stephen Dorff,Michael Potts,Kelly Reilly,Scoot McNairy,Tory Kittles,Ray Fisher,Chris Kerson,Ritchie Coster,Sarah Gadon",2014–2019,,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law."
Hunter x Hunter,2011–2014,"TV Series,24,m",9.0,101K,"Animation,Action,Adventure,Back to top",Yoshihiro Togashi,"Issei Futamata,Megumi Han,Cristina Valenzuela,Mariya Ise,Michael McConnohie,Erica Mendez,Erika Harlacher,Miyuki Sawashiro,Daisuke Namikawa,Matthew Mercer,Keiji Fujiwara,Keith Silverstein,Wataru Takagi,Tony Oliver,Bill Rogers,Ray Chase,Ben Diskin,Kyle Hebert",2011–2014,,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger."
Death Note,2006–2007,"TV Series,24,m",9.0,324K,"Animation,Crime,Drama,Back to top",Mamoru Miyano,"Mamoru Miyano,Brad Swaile,Vincent Tong,Ryô Naitô,Trevor Devall,Brian Drummond,Naoya Uchida,Chris Britton,Keiji Fujiwara,Kappei Yamaguchi,Aya Hirano,Shannon Chan-Kent,Alessandro Juliani,Shidô Nakamura,John Murphy,Kazuya Nakai,Kiyoshi Kobayashi,French Tickner",2006–2007,,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
Human Planet,2011,"TV Mini Series,50,m",9.0,27K,"Documentary,Back to top",John Hurt,"John Hurt,Roger Munns",2011,,A cinematic experience bringing you the most amazing human stories in the world. Humans and wildlife surviving in the most extreme environments on Earth
Frozen Planet,2011–2012,"TV Mini Series,5,h, ,33,m",9.0,31K,"Documentary,Back to top",David Attenborough,"David Attenborough,Alec Baldwin,Chadden Hunter,Michael Kelem,Ted Giffords,Mark Linfield,Vanessa Berlowitz,Jeff Turner,Doug Allan,Jeff Wilson,Gavin Thurston,Doug Anderson,Mark Smith,Alun Hubbard,Didier Noirot,Jamie McPherson,John Aitchison,Matthew Swarbrick",2011–2012,,Focuses on life and the environment in both the Arctic and Antarctic.
Firefly,2002–2003,"TV Series,44,m",9.0,266K,"Adventure,Drama,Sci-Fi,Back to top",Joss Whedon,"Nathan Fillion,Gina Torres,Alan Tudyk,Morena Baccarin,Adam Baldwin,Jewel Staite,Sean Maher,Summer Glau,Ron Glass,Christina Hendricks,Mark Sheppard,Michael Fairman,Jeff Ricketts,Dennis Cockrum,Zac Efron,Doug Savant,Richard Brooks,Gregory Itzin",2002–2003,,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them."
The Office,2005–2013,"TV Series,22,m",9.0,597K,"Comedy,Back to top",Greg Daniels,"Steve Carell,Jenna Fischer,John Krasinski,Rainn Wilson,Leslie David Baker,Brian Baumgartner,Angela Kinsey,Kate Flannery,Phyllis Smith,Creed Bratton,Oscar Nuñez,B.J. Novak,Mindy Kaling,Ed Helms,Paul Lieberstein,Craig Robinson,Ellie Kemper,Zach Woods",2005–2013,,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium."
Attack on Titan,2013–2023,"TV Series,24,m",9.0,372K,"Animation,Action,Adventure,Back to top",Josh Grelle,"Josh Grelle,Bryce Papenbrook,Yûki Kaji,Yui Ishikawa,Marina Inoue,Trina Nishimura,Kishô Taniyama,Clifford Chapin,Hiro Shimono,Mike McFarland,Romi Park,Matthew Mercer,Jessica Calvello,Hiroshi Kamiya,Yoshimasa Hosoya,Yû Kobayashi,Robert McCollum,Ashly Burch",2013–2023,,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
The Blue Planet,2001,"TV Mini Series,6,h, ,29,m",9.0,40K,"Documentary,Back to top",David Attenborough,"David Attenborough,Pierce Brosnan,Peter Scoones",2001,,"Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans."
Scam 1992: The Harshad Mehta Story,2020,"TV Series,54,m",9.3,144K,"Biography,Crime,Drama,Back to top",Pratik Gandhi,"Pratik Gandhi,Shreya Dhanwanthary,Hemant Kher,Anjali Barot,Chirag Vohra,Akdas Hayat,Brinda Trivedi,Jay Upadhyay,Kumkum Das,Anant Mahadevan,Faisal Rashid,Nikhil Dwivedi,Kavin Dave,Paresh Ganatra,Himanshu Kohli,Aakanksha Gade,K.K. Raina,Raghav Raj Kakker",2020,,"Set in 1980s and '90s Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall."
Arcane,2021– ,"TV Series,41,m",9.0,206K,"Animation,Action,Adventure,Back to top",Hailee Steinfeld,"Hailee Steinfeld,Kevin Alejandro,Jason Spisak,Terri Douglas,Remy Hii,Harry Lloyd,Toks Olagundoye,Robin Atkin Downes,Arthur Ortiz,JB Blanc,Dave B. Mitchell,Amirah Vann,Katie Leung,Ella Purnell,Mia Sinclair Jenness,Josh Keaton,Mick Wingert,Scott Menville",2021– ,,"Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart."
Batman: The Animated Series,1992–1995,"TV Series,23,m",9.0,105K,"Animation,Action,Adventure,Back to top",Bob Kane,"Kevin Conroy,Loren Lester,Efrem Zimbalist Jr.,Bob Hastings,Robert Costanzo,Mari Devon,Mark Hamill,Richard Moll,Lloyd Bochner,Arleen Sorkin,John Vernon,Adrienne Barbeau,Brock Peters,Diane Pershing,Paul Williams,Ingrid Oliu,Neil Ross,Aron Kincaid",1992–1995,,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
Sherlock,2010–2017,"TV Series,1,h, ,28,m",9.1,925K,"Crime,Drama,Mystery,Back to top",Mark Gatiss,"Benedict Cumberbatch,Martin Freeman,Una Stubbs,Rupert Graves,Louise Brealey,Mark Gatiss,Andrew Scott,Amanda Abbington,Jonathan Aris,Vinette Robinson,Tanya Moodie,Lindsay Duncan,Yasmine Akram,Sian Brooke,David Nellist,Simon Kunz,Wanda Ventham,Timothy Carlton",2010–2017,,A modern update finds the famous sleuth and his doctor partner solving crime in 21st-century London.
Bluey,2018– ,"TV Series,7,m",9.6,11K,"Animation,Family,Back to top",Joe Brumm,"David McCormack,Melanie Zanetti,Ninthe van Schie,Brad Elliott,Dan Brumm,Myf Warhurst,Megan Washington,Chris Brumm,Daley Pearson,Emily Taheny,Richard Jeffery,Leigh Sales,Francis Stanton,Kelly Butler,Hamish Blake,Joff Bush,Hsiao Ling Tang,Laurie Newman",2018– ,,The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.
The Vietnam War,2017,"TV Mini Series,16,h, ,30,m",9.1,25K,"Documentary,History,War,Back to top",Peter Coyote,"Peter Coyote,Huy Duc,James Willbanks,Duong Van Mai Elliott,Joachim Król,Bernt Hahn,Josef Tratnik,Ernst August Schepmann,Robert Steudtner,Renate Fuhrmann,Simon Roden,Hans-Gerd Kilbinger,Maximilian Hilbrand,John Musgrave,Phan Quang Tue,Karl Marlantes,Nguyen Ngoc,Bao Ninh",2017,,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.
The Twilight Zone,1959–1964,"TV Series,51,m",9.1,84K,"Drama,Fantasy,Horror,Back to top",Rod Serling,"Rod Serling,Robert McCord,Jay Overholts,James Turley,Vaughn Taylor,David Armstrong,Jack Klugman,Burgess Meredith,John Anderson,J. Pat O'Malley,Barney Phillips,George Mitchell,Cyril Delevanti,Jon Lormer,John McLiam,Bill Erwin,Nan Peterson,Lew Brown",1959–1964,,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner."
The Last Dance,2020,"TV Mini Series,8,h, ,11,m",9.1,124K,"Documentary,Biography,History,Back to top",Michael Jordan,"Michael Jordan,Phil Jackson,Scottie Pippen,David Aldridge,Michael Wilbon,Steve Kerr,Andrea Kremer,Deloris Jordan,John Paxson,Bill Wennington,Dennis Rodman,Ahmad Rashad,Bob Costas,David Stern,Sam Smith,Jerry Reinsdorf,Rick Telander,B.J. Armstrong",2020,,"Charting the rise of the 1990s Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history."
Life,2009,"TV Mini Series,7,h, ,53,m",9.1,41K,"Documentary,Back to top",Oprah Winfrey,"Oprah Winfrey,David Attenborough,Doug Allan,Roger Munns,Michael Pitts,Neil Lucas,Matthew Swarbrick,Barrie Britton,Justine Evans,Jonathan Smith,Kevin Flay,Nick Guy,Stephen Lyle,David Baillie,Martha Holmes,Doug Anderson,Tim Shepherd,Adam Chapman",2009,,David Attenborough's legendary BBC crew explains and shows wildlife all over planet earth. From giving an overview of the challenges facing life to hunting the deep sea and various major evolutionary groups of creatures.
