title,year,duration,note,n_total,Genre,Director,Acteurs,Public,color,Descriptions
Aspirants,2021– ,"TV Series,45,m",9.2,297K,"Drama,Back to top",Arunabh Kumar,"Naveen Kasturia,Shivankit Singh Parihar,Abhilash Thapliyal,Sunny Hinduja,Akdas Hayat,Namita Dubey,Kuljeet Singh,Bijou Thaangjam,Neetu Jhanjhi,Nupur Nagpal,Darius Chinoy,Udit Kulshrestha,Arpit Bhatia,Rahul Bharadwaj,Preeti Agarwal Mehta,Shivam Kakar,Anurag Thakur,Abhishek Yadav",2021– ,,It is the story of the journey of three UPSC (public service competitive exams in India) aspirants and their friendship against all odds.
Mahabharat,1988–1990,"TV Series,45,m",9.0,20K,"Adventure,Drama,History,Back to top",Harish Bhimani,"Harish Bhimani,Nitish Bharadwaj,Mukesh Khanna,Gajendra Chauhan,Praveen Kumar Sobti,Feroz Khan,Roopa Ganguly,Puneet Issar,Pankaj Dheer,Gufi Paintal,Girija Shankar,Surendra Pal,Renuka Israni,Nazneen,Virendra Razdan,Vinod Kapoor,Sameer Chitre,Sanjeev Chitre",1988–1990,,"When a dynastic struggle between the collateral branches of the Kuru clan, the Kauravas and Pandavas lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation."
Father Ted,1995–1998,"TV Series,25,m",8.7,41K,"Comedy,Back to top",Dermot Morgan,"Dermot Morgan,Ardal O'Hanlon,Frank Kelly,Pauline McLynn,Tony Guilfoyle,Patrick Drury,Rynagh O'Grady,Maurice O'Donoghue,Arthur Mathews,Don Wycherley,Pat Shortt,Jim Norton,Graham Norton,Don Foley,Paul Woodfull,Joe Taylor,Tom Farrelly,Jon Kenny",1995–1998,,"Three misfit priests and their housekeeper live on Craggy Island, not the peaceful and quiet part of Ireland that it seems to be."
Justice League Unlimited,2004–2006,"TV Series,23,m",8.7,17K,"Animation,Action,Adventure,Back to top",Jack Kirby,"George Newbern,Kevin Conroy,Phil LaMarr,Carl Lumbly,Susan Eisenberg,Clancy Brown,Michael Rosenbaum,Maria Canals-Barrera,Kin Shriner,CCH Pounder,Lex Lang,Nicholle Tom,Juliet Landau,Jennifer Hale,Michael Beach,Robert Foxworth,Chris Cox,Powers Boothe",2004–2006,,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
The Thick of It,2005–2012,"TV Series,29,m",8.7,24K,"Comedy,Back to top",Armando Iannucci,"Chris Addison,James Smith,Peter Capaldi,Joanna Scanlan,Rebecca Front,Roger Allam,Will Smith,Olivia Poulet,Vincent Franklin,Ben Willbond,Polly Kemp,Lucinda Raikes,Chris Langham,Justin Edwards,Tony Gardner,Samantha Harrington,Geoffrey Streatfeild,Alex Macqueen",2005–2012,,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
The Grand Tour,2016– ,"TV Series,1,h",8.7,76K,"Comedy,Sport,Talk-Show,Back to top",Jeremy Clarkson,"Jeremy Clarkson,James May,Richard Hammond,Abbie Eaton,Mike Skinner,Simon Pegg,David Hasselhoff,Kiefer Sutherland,Paris Hilton,Jimmy Carr,John Surtees,Johan Ackermann,Jérôme d'Ambrosio,Tim Burton,Roger Daltrey,Ricky Wilson,Michael Ball,Brian Johnson",2016– ,,"Follow Jeremy, Richard and James, as they embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world."
The Crown,2016– ,"TV Series,58,m",8.7,218K,"Biography,Drama,History,Back to top",Peter Morgan,"Claire Foy,Olivia Colman,Imelda Staunton,Matt Smith,Tobias Menzies,Dominic West,Lesley Manville,Charles Edwards,Elizabeth Debicki,Jonathan Pryce,Vanessa Kirby,Marion Bailey,Victoria Hamilton,Helena Bonham Carter,Pip Torrens,Sam Phillips,Erin Doherty,Will Keen",2016– ,,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.
Friday Night Lights,2006–2011,"TV Series,44,m",8.7,67K,"Drama,Sport,Back to top",Peter Berg,"Kyle Chandler,Connie Britton,Zach Gilford,Aimee Teegarden,Brad Leland,Taylor Kitsch,Jesse Plemons,Derek Phillips,Blue Deckert,Minka Kelly,Adrianne Palicki,Timothy F. Crowley,Louanne Stephens,Stacey Oristano,Scott Porter,Gaius Charles,David Cowgill,Gary Teague",2006–2011,,"A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor."
Top Gear,2002– ,"TV Series,1,h",8.7,119K,"Adventure,Comedy,Reality-TV,Back to top",Jeremy Clarkson,"Jeremy Clarkson,Richard Hammond,James May,The Stig,Ben Collins,Chris Harris,Andrew Flintoff,Paddy McGuinness,Matt LeBlanc,Rory Reid,Perry McCarthy,Sabine Schmitz,Jason Dawe,Andy Wilman,Chris Evans,Josh Cohen,Tom Chilton,Eddie Jordan",2002– ,,"The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all."
Berserk,1997–1998,"TV Series,23,m",8.7,40K,"Animation,Action,Adventure,Back to top",Kentaro Miura,"Marc Diraison,Nobutoshi Canna,Carrie Keranen,Kevin T. Collins,Unshô Ishizuka,Carla Tassara,Jon Avner,Yûko Miyamura,Akira Ishida,Tomohiro Nishimura,Toshiyuki Morikawa,Christopher Kromer,Akiko Yajima,Marc Sebastian,Masuo Amada,Jeff Ward,Michelle Newman,Eiji Sekiguchi",1997–1998,,"Guts is a skilled swordsman who joins forces with a mercenary group named 'The Band of the Hawk', lead by the charismatic Griffith, and fights with them as they battle their way into the royal court."
The Adventures of Sherlock Holmes,1984–1985,"TV Series,1,h",8.7,23K,"Crime,Drama,Mystery,Back to top",John Hawkesworth,"Jeremy Brett,David Burke,Rosalie Williams,Eric Porter,Gayle Hunnicutt,Jeremy Kemp,Rosalind Knight,Barbara Wilshere,Norman Jones,David Gwillim,Tenniel Evans,Joss Ackland,Charles Gray,Nicholas Clay,Rosalie Crutchley,Roger Hammond,Betsy Brantley,John Castle",1984–1985,,"Sherlock Holmes and Dr Watson solve the mysteries of copper beeches, a Greek interpreter, the Norwood builder, a resident patient, the red-headed league, and one final problem."
House of Cards,2013–2018,"TV Series,51,m",8.7,505K,"Drama,Back to top",Beau Willimon,"Kevin Spacey,Michel Gill,Robin Wright,Kate Mara,Michael Kelly,Justin Doescher,Derek Cecil,Jayne Atkinson,Nathan Darrow,Mahershala Ali,Boris McGiver,Paul Sparks,Molly Parker,Neve Campbell,Jeremy Holm,Marla Aaron Wapner,Nini Le Huynh,Gregory Divers",2013–2018,,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.
Star Trek: The Next Generation,1987–1994,"TV Series,44,m",8.7,121K,"Action,Adventure,Sci-Fi,Back to top",Gene Roddenberry,"Patrick Stewart,Brent Spiner,Jonathan Frakes,LeVar Burton,Marina Sirtis,Michael Dorn,Gates McFadden,Majel Barrett,Wil Wheaton,Colm Meaney,James G. Becker,Denise Crosby,Whoopi Goldberg,Diana Muldaur,Patti Yasutake,Dennis Madalone,Michelle Forbes,Rosalind Chao",1987–1994,,"Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before."
The Marvelous Mrs. Maisel,2017– ,"TV Series,57,m",8.7,115K,"Comedy,Drama,Back to top",Amy Sherman-Palladino,"Rachel Brosnahan,Alex Borstein,Michael Zegen,Marin Hinkle,Tony Shalhoub,Matteo Pascale,Matilda Szydagis,Kevin Pollak,Nunzio Pascale,Caroline Aaron,Joel Johnstone,Bailey De Young,Brian Tarantina,Luke Kirby,Jane Lynch,Stephanie Hsu,Cynthia Darlow,LeRoy McClain",2017– ,,"After her husband leaves her, young mother of two Miriam ""Midge"" Maisel discovers that she has a talent for stand-up comedy. Could this be her calling?"
Severance,2022– ,"TV Series,55,m",8.7,117K,"Drama,Mystery,Sci-Fi,Back to top",Dan Erickson,"Adam Scott,Zach Cherry,Britt Lower,Tramell Tillman,Jen Tullock,Dichen Lachman,Michael Chernus,John Turturro,Christopher Walken,Patricia Arquette,Gwendoline Christie,Alia Shawkat,Merritt Wever,Ólafur Darri Ólafsson,Robby Benson,John Noble,Bob Balaban,Stefano Carannante",2022– ,,"Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs."
Vinland Saga,2019– ,"TV Series,24,m",8.8,39K,"Animation,Action,Adventure,Back to top",Ray Chase,"Ray Chase,Zach Aguilar,Keith Silverstein,SungWon Cho,Allegra Clark,Patrick Seitz,Ben Diskin,Kira Buckland,Billy Kametz,Kellen Goff,Debi Derryberry,J. Michael Tatum,Abby Trott,Alejandro Saab,Sean Chiplock,Kirk Thornton,Ryan Bartley,Kyle Hebert",2019– ,,Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.
Panchayat,2020– ,"TV Series,35,m",8.9,71K,"Comedy,Drama,Back to top",Jitendra Kumar,"Jitendra Kumar,Raghuvir Yadav,Chandan Roy,Faisal Malik,Neena Gupta,Sanvikaa,Durgesh Kumar,Biswapati Sarkar,Subhendu Chakraborty,Sushil Tandon,Mubarak Khan,Govind Lobhani,Kamal Rai,Bal Mukund Rai,Salim Ansari,Mohd. Shakir,Dinesh Tiwaru,Kailash Karoshiya",2020– ,,"A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh."
Peep Show,2003–2015,"TV Series,25,m",8.7,61K,"Comedy,Back to top",Jesse Armstrong,"David Mitchell,Robert Webb,Matt King,Olivia Colman,Neil Fitzmaurice,Isy Suttie,Paterson Joseph,Sophie Winkleman,Jim Howick,Rachel Blanchard,Elizabeth Marmur,Vera Graziadei,Camilla Beeput,Emily Bruni,Paul Clayton,Cariad Lloyd,Catherine Shepherd,Endy McKay",2003–2015,,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.
Invincible,2021– ,"TV Series,50,m",8.7,137K,"Animation,Action,Adventure,Back to top",Robert Kirkman,"Steven Yeun,J.K. Simmons,Sandra Oh,Zazie Beetz,Grey Griffin,Kevin Michael Richardson,Walton Goggins,Gillian Jacobs,Zachary Quinto,Andrew Rannells,Jason Mantzoukas,Khary Payton,Melise,Chris Diamantopoulos,Ross Marquand,Max Burkholder,Mark Hamill,Clancy Brown",2021– ,,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.
Sarabhai V/S Sarabhai,2004–2017,"TV Series,30,m",9.0,17K,"Comedy,Back to top",Satish Shah,"Satish Shah,Ratna Pathak Shah,Sumeet Raghavan,Rupali Ganguly,Rajesh Kumar,Ghanshyam Nayak,Deven Bhojani,Arvind Vaidya,Shilpa Mehta,Rita Bhaduri,Sheetal Thakkar,Vaibhavi Upadhyaya,Aishwarya Sakhuja,Gurpal Singh,Gerald Stone,Aatish Kapadia,Jamnadas Majethia,Tarla Joshi",2004–2017,,"The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Bombay, whose daughter-in-law is from a middle class Delhi background."
Mad Men,2007–2015,"TV Series,47,m",8.7,240K,"Drama,Back to top",Matthew Weiner,"Jon Hamm,Elisabeth Moss,Vincent Kartheiser,January Jones,Christina Hendricks,Aaron Staton,Rich Sommer,John Slattery,Kiernan Shipka,Robert Morse,Christopher Stanley,Jessica Paré,Jay R. Ferguson,Michael Gladis,Bryan Batt,Alison Brie,Jared Harris,Kevin Rahm",2007–2015,,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper."
Downton Abbey,2010–2015,"TV Series,58,m",8.7,208K,"Drama,Romance,Back to top",Julian Fellowes,"Hugh Bonneville,Phyllis Logan,Elizabeth McGovern,Brendan Coyle,Laura Carmichael,Jim Carter,Michelle Dockery,Joanne Froggatt,Robert James-Collier,Sophie McShera,Lesley Nicol,Maggie Smith,Penelope Wilton,Kevin Doyle,Allen Leech,David Robb,Siobhan Finneran,Dan Stevens",2010–2015,,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.
